,French,English
0,seulement,only
1,aide,help
2,genre,kind
3,mois,month
4,frère,brother
5,ville,city
6,chaque,each
7,parlé,speak
8,devrait,should
9,bébé,baby
10,heures,hours
11,vont,will
12,aucune,any
13,compris,understood
14,savais,knew
15,pourrais,could
16,affaire,case
17,donner,give
18,type,type
19,leurs,their
20,donné,given
21,train,train
22,corps,body
23,écoute,listen
24,dont,whose
25,trouve,find
26,perdu,lost
27,première,first
28,côté,side
29,pouvoir,power
30,tellement,so much
31,enfant,child
32,devant,in front of
33,minutes,minutes
34,demandé,request
35,chambre,bedroom
36,mis,placed
37,droit,law
38,aimerais,would like to
39,enfin,finally
40,eau,water
41,attendez,Wait
42,boulot,job
43,arrêter,Stop
44,dirait,would say
45,terre,Earth
46,compte,account
47,loin,far
48,fin,end
49,croire,believe
50,aura,will have
51,filles,girls
